PACKET_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN
6,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,12301,0,FALSE,FALSE,FALSE,1460
6,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,12301,0,FALSE,FALSE,FALSE,1460
6,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,12301,0,FALSE,FALSE,FALSE,1460
6,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,12301,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,13761,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,13761,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,13761,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,13761,FALSE,TRUE,FALSE,0
7,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,13761,0,FALSE,FALSE,FALSE,1460
8,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,15221,0,FALSE,FALSE,FALSE,1460
7,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,13761,0,FALSE,FALSE,FALSE,1460
8,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,15221,0,FALSE,FALSE,FALSE,1460
7,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,13761,0,FALSE,FALSE,FALSE,1460
8,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,15221,0,FALSE,FALSE,FALSE,1460
7,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,13761,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,15221,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,15221,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,15221,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,15221,FALSE,TRUE,FALSE,0
8,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,15221,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,16681,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,16681,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,16681,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,16681,FALSE,TRUE,FALSE,0
9,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,16681,0,FALSE,FALSE,FALSE,1460
10,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,18141,0,FALSE,FALSE,FALSE,1460
9,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,16681,0,FALSE,FALSE,FALSE,1460
11,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,19601,0,FALSE,FALSE,FALSE,1460
10,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,18141,0,FALSE,FALSE,FALSE,1460
9,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,16681,0,FALSE,FALSE,FALSE,1460
12,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,21061,0,FALSE,FALSE,FALSE,1460
11,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,19601,0,FALSE,FALSE,FALSE,1460
10,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,18141,0,FALSE,FALSE,FALSE,1460
9,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,16681,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,18141,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,18141,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,18141,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,18141,FALSE,TRUE,FALSE,0
12,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,21061,0,FALSE,FALSE,FALSE,1460
11,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,19601,0,FALSE,FALSE,FALSE,1460
10,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,18141,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,19601,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,19601,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,19601,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,19601,FALSE,TRUE,FALSE,0
13,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,22521,0,FALSE,FALSE,FALSE,1460
12,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,21061,0,FALSE,FALSE,FALSE,1460
11,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,19601,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,21061,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,21061,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,21061,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,21061,FALSE,TRUE,FALSE,0
14,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,23981,0,FALSE,FALSE,FALSE,1460
13,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,22521,0,FALSE,FALSE,FALSE,1460
12,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,21061,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,22521,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,22521,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,22521,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,22521,FALSE,TRUE,FALSE,0
15,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,25441,0,FALSE,FALSE,FALSE,1460
14,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,23981,0,FALSE,FALSE,FALSE,1460
13,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,22521,0,FALSE,FALSE,FALSE,1460
16,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,26901,0,FALSE,FALSE,FALSE,1460
15,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,25441,0,FALSE,FALSE,FALSE,1460
14,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,23981,0,FALSE,FALSE,FALSE,1460
13,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,22521,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,23981,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,23981,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,23981,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,23981,FALSE,TRUE,FALSE,0
16,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,26901,0,FALSE,FALSE,FALSE,1460
15,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,25441,0,FALSE,FALSE,FALSE,1460
14,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,23981,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,25441,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,25441,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,25441,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,25441,FALSE,TRUE,FALSE,0
17,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,28361,0,FALSE,FALSE,FALSE,1460
16,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-7,SWITCH-6,26901,0,FALSE,FALSE,FALSE,1460
15,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,25441,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,26901,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,26901,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,26901,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,26901,FALSE,TRUE,FALSE,0
18,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,29821,0,FALSE,FALSE,FALSE,1460
17,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-7,28361,0,FALSE,FALSE,FALSE,1460
16,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-6,NODE-3,26901,0,FALSE,FALSE,FALSE,1460
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,NODE-3,SWITCH-6,5011,28361,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-6,ROUTER-7,5011,28361,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,ROUTER-7,SWITCH-5,5011,28361,FALSE,TRUE,FALSE,0
0,Control_Packet,TCP_ACK,NODE-3,NODE-2,SWITCH-5,NODE-2,5011,28361,FALSE,TRUE,FALSE,0
